weblink,websites,machine,links,systems,settings,opt-out,anonymous,targeted,request,consent,breach,computer,profile,browsers,electronic,check,trackers,laws,visited,yahoo,third-party,individuals,tools,products,platform,web,safari,visiting,profiles,traffic,phorm's,unique,internet,intercept,investigatory,user,broadband,logged,default,doubleclick,requests,sending,regulations,collect,campaigns,monitoring,isps,browsing,collection,cookies,ad,computers,trial,firefox,digital,sell,user's,company's,software,advertisers,code,advertising,intrusive,database,phorm,trials,technologies,identifiable,sites,talktalk,opt,collected,cookie,allows,update,webwise,store,browser,revenues,delete,adverts,link,tracking,illegal,clicked,tool,obtained,targeting,owned,types,rely,specific,identify,behaviour,log,secret,id,download,protection,abuse,networks,amazon,users,ip,analytics,chrome,adware,mobile,behavioural,users',visits,isp,search,content,location,potentially,records,privacy,devices,click,blog,technical,ads,interception,files,snooping,google's,preferences,tracks,apple's,personally,block,opt-in,google,pages,activity,regulation,provider,tracked,remove,visitors,install,comply,classLabel
politics/2017/apr/02/arron-banks-interview-brexit-ukip-far-right-trump-putin-russia,0,0,4,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
technology/2017/mar/30/privacy-protection-web-browsing-history-data-congress,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,8,1,0,1,4,0,1,0,0,0,0,0,0,0,8,13,0,1,0,0,0,0,0,6,0,0,1,3,0,2,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,1,0,0,1,2,0,1,1,0,0,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
commentisfree/2017/mar/30/snoops-buy-your-browsing-history-us-congress,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,2,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,1,0,0,13,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,4,0,1,1,4,0,1,0,1,0,1
technology/2017/mar/28/internet-service-providers-sell-browsing-history-house-vote,4,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,2,0,0,2,1,0,0,6,0,0,0,2,0,0,7,0,0,3,4,0,2,0,0,0,0,0,0,0,15,11,0,1,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,2,1,0,0,0,0,16,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1
technology/2017/mar/26/12-ways-to-hack-proof-your-smartphone-privacy-data-thieves,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,6,0,1
uk-news/live/2017/mar/23/westminster-attack-parliament-resumes-tributes-keith-palmer-live,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,2,0,0,4,0,0,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,23,0,2,3,0,0,0,0,0,1,0,0,1
small-business-network/2017/mar/23/beginners-guide-mastering-google-analytics-advice-onespacemedia,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,7,0,7,1,0,7,0,0,0,0,13,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,1,0,5,0,0,1
politics/blog/live/2017/mar/22/peers-say-brexit-with-no-trade-deal-would-cause-signicicant-damage-to-service-sector-politics-live,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,2,1,0,1,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,2,1,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,20,0,0,2,2,0,0,0,1,6,0,0,1
politics/2017/feb/26/robert-mercer-breitbart-war-on-media-steve-bannon-donald-trump-nigel-farage,2,2,3,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,3,0,1,2,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1
environment/2017/feb/13/what-can-i-do-to-help-elephants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,9,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,2,1,1,0,0,0,2,3,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
